review_id,author,language,recommended,steam_purchase,votes_up,weighted_vote_score,timestamp,review
209022425,76561197970953585,english,True,True,0,0.5,2025-11-12 17:57:59,"Perfection - Let me explain!

The game is cheap cheap.

The physics are bonkers and gives you the foundation for the best laughs!

Wanna move faster? Puff your cig!
Wanna get strong? Crack open a beer!
Wanna be a dick? Grab a cup of cold coffee, light a smoke and look at the others trying to get the RV unstuck, while giving them hindsight feedback.

Guaranteed good times!

Also, throwing a cigarette at landmines does nothing. (Don't quote me on that)

10/10 would buy again!"
209022374,76561199653084292,english,True,True,0,0.5,2025-11-12 17:56:43,"please find good friends to play with or play solo if your friend is shit 
10/10"
209022303,76561199207882622,english,True,True,0,0.5,2025-11-12 17:55:05,"play only when you cant 


"
209020891,76561198064517493,english,True,False,1,0.523809552192687988,2025-11-12 17:20:48,"Game has been hella fun to play with my friends and boyfriend, its lengthy and just funny lmao 9/10 :3"
209020523,76561199874600191,english,True,False,0,0.5,2025-11-12 17:11:12,This game is so funny to play and I have a great time everytime I boot it up congrats on the developers and amazing job on this game
209020515,76561199013481480,english,True,True,0,0.5,2025-11-12 17:10:56,It's really fun to play with other people but it can absolutely get frustrating lol
209020319,76561198304674934,english,True,True,0,0.5,2025-11-12 17:05:11,Great Game
209019929,76561198011487415,english,True,True,0,0.5,2025-11-12 16:54:59,the best eight bucks i've spent in years
209019815,76561198074160114,english,True,True,0,0.5,2025-11-12 16:52:04,It's sick. Worth triple it's price.
209018468,76561199478491057,english,True,True,0,0.5,2025-11-12 16:15:42,play this if your a real man and want an adventure of a life time FN.
209018452,76561198065310005,english,True,False,0,0.5,2025-11-12 16:15:23,"Was incredibly fun and frustrating in an entertaining way, played with my brother and it took us 5.6 hours to complete, definitely a fun game for a group with lots of laughs and fun to be had"
209018224,76561199512541206,english,True,True,0,0.5,2025-11-12 16:09:19,Great game needs more ciggys
209018130,76561198796928384,english,True,False,0,0.5,2025-11-12 16:07:09,"Just got past the big jump checkpoint, good time with friends and plenty of memes to be made"
209017639,76561199426481631,english,True,True,0,0.5,2025-11-12 15:53:37,With a group of friends this game is a amazing time. It takes a lot of teamwork but overall is a amazing game to play. 8/10 would recommend. Devs just need to fix the glitches with the RV that are occasional
209016847,76561199135889096,english,True,True,0,0.5,2025-11-12 15:30:31,I was eaten by a bear
209016261,76561199052102995,english,True,False,0,0.5,2025-11-12 15:12:57,The horror of having a snake in the restroom
209016102,76561198081421385,english,False,True,3,0.513749599456787109,2025-11-12 15:08:11,"Way too glitchy right now to be enjoyed. Not a complete game by any means and at best an early access. The game will send you flying out of the car every so often or have a bear or literally anything in the environment dismantle your whole RV in seconds like a fkn LEGO
GREAT ideas but need to wait to have more polish right now"
209015696,76561199142349397,english,True,True,0,0.5,2025-11-12 14:55:48,great with friends non-stop funny moments
209015533,76561198028121612,english,True,False,0,0.5,2025-11-12 14:50:04,It's a trip and you're gonna want to stay till the end It's janky but it's funny And Exciting adventure there's checkpoints that you can respond if the game Messes up on you. The game isn't too long so I would suggest playing this in sessions each checkpoint take a break come back the next day get to the next checkpoint gas station and tackle the next puzzle.
209015306,76561199333948213,english,True,True,0,0.5,2025-11-12 14:43:28,WOULD HAVE PAID 30$ FOR IT
209014860,76561197975902154,english,True,True,0,0.5,2025-11-12 14:30:38,This is the definition of Road trip with the boys.
209014396,76561198093336706,english,False,False,6,0.542391359806060791,2025-11-12 14:17:03,"This was gifted to me by a good friend of mine, and while I like the idea of a co-op RV trip where you have to get over obstacles, and generally vibe with friends online, this game instead just feels undercooked and not ready for release. The menu's also do not scream ""finished product"" either, being basic boxes that'd I'd expect from a beta build.

If this game were in Early Access right now, I would probably be more forgiving. But nope, this is a game that released without that buffer, without time to collect player suggestions and improvements. Even if it's £6.70 (~$8), the price does not excuse the poor gameplay that I'm actively fighting against.

Playing on controller is its own special hell. While driving the RV is actually reasonably good with a controller (even with the awkward manual gearbox), half the keybinds do not work as intended, and worse, oftentimes break unexpectedly, meaning for some parts of the gameplay, all I can do is pick items up and sit down, and I can't read the map because the game is confused on what button i'm pressing. And standing up forces me to press A, not Right Stick Click as the game prompts suggest.

The games's voice chat settings also reset after each restart, which is also annoying, forcing myself and friends to change the input option again to silence our voices because we had the audacity to use Discord to communicate.

As for performance, I have a reasonably good GPU (RX580 8GB) and performance floated around 45 - 75 FPS on high settings depending on what I was doing. The gameplay didn't feel too sluggish, and I'd argue the game isn't particularly badly optimised either (though more could be done).

I do think the game nails the vibe of an RV trip, and there's nothing wrong with the gameplay in of itself. It's just undermined by people who made it. I really hope the developers of the game find this review (and the discussions on their forum) and take to heart the complaints, because right now, the game is frustrating to interact with, and borderline unplayable in some cases. 

4.5/10 - Really solid idea marred by technical issues."
209013146,76561198086472248,english,True,True,1,0.523809552192687988,2025-11-12 13:41:22,"definitely worth the price, i strongly recommend the devs rework bears somehow since they do a lot of damage and w/out spray you're toast"
209012884,76561198140969340,english,True,True,0,0.5,2025-11-12 13:32:53,fun
209012759,76561197992570838,english,True,True,1,0.5,2025-11-12 13:28:50,"It's not the best game I've ever played, not even close to the best game this year but is it a fun 8ish hour experience with friends? Absolutely! There's some hilarious stuff in this game. If you're in the middle of the game, I would strongly urge you to finish it. My friends and I got to the point where we were contemplating quitting. We were about 5 hours in, the task ahead seemed daunting and we felt like we already got our money's worth. Well we decided to push through and I'm glad we did. The end is pretty great."
209012680,76561198075600943,english,True,True,1,0.5,2025-11-12 13:26:21,"What an ending, won't spoil, but that was the most amount of fun I've had in a while. Lightheaded while writing this review."
209012669,76561198082383599,english,True,True,1,0.5,2025-11-12 13:26:08,"
---{ Graphics }---
☐ You forget what reality is
☐ Beautiful
☐ Good
☑ Decent
☐ Bad
☐ Don‘t look too long at it
☐ MS-DOS

---{ Gameplay }---
☑ Very good
☐ Good
☐ It's just gameplay
☐ Mehh
☐ Watch paint dry instead
☐ Just don't

---{ Audio }---
☐ Eargasm
☑ Very good
☐ Good
☐ Not too bad
☐ Bad
☐ I'm now deaf

---{ Audience }---
☐ Kids
☑ Teens
☑ Adults
☐ Grandma

---{ PC Requirements }---
☐ Check if you can run paint
☑ Potato
☐ Decent
☐ Fast
☐ Rich boi
☐ Ask NASA if they have a spare computer

---{ Game Size }---
☑ Floppy Disk
☐ Old Fashioned
☐ Workable
☐ Big
☐ Will eat 15% of your 1TB hard drive
☐ You will want an entire hard drive to hold it
☐ You will need to invest in a black hole to hold all the data

---{ Difficulty }---
☐ Just press 'W'
☐ Easy
☐ Easy to learn / Hard to master
☑ Significant brain usage
☐ Difficult
☐ Dark Souls

---{ Grind }---
☑ Nothing to grind
☐ Only if u care about leaderboards/ranks
☐ Isn't necessary to progress
☐ Average grind level
☐ Too much grind
☐ You'll need a second life for grinding

---{ Story }---
☐ No Story
☑ Some lore
☐ Average
☐ Good
☐ Lovely
☐ It'll replace your life

---{ Game Time }---
☐ Long enough for a cup of coffee
☑ Short
☐ Average
☐ Long
☐ To infinity and beyond

---{ Price }---
☐ It's free!
☑ Worth the price
☐ If it's on sale
☐ If u have some spare money left
☐ Not recommended
☐ You could also just burn your money

---{ Bugs }---
☐ Never heard of
☑ Minor bugs
☐ Can get annoying
☐ ARK: Survival Evolved
☐ The game itself is a big terrarium for bugs

---{ ? / 10 }---
☐ 1
☐ 2
☐ 3
☐ 4
☐ 5
☐ 6
☐ 7
☐ 8
☑ 9
☐ 10

---{ Author }---
☑ https://vojtastruhar.github.io/steam-review-template 
"
209012113,76561199117267314,english,True,True,1,0.5,2025-11-12 13:10:50,"the game was great, me and the boys had so much fun we hope the game grows and maybe add more maps of some sorts, maybe some type of snow map and more off roading. But they couldn't give us a finishing achievement."
209011984,76561198191061166,english,True,True,1,0.5,2025-11-12 13:07:03,"This is a great game, even better with friends. there are minor bugs but it is part of the fun."
209011641,76561198117712767,english,True,True,0,0.5,2025-11-12 12:56:41,cracked open brewkis and drove with the homies
209011040,76561198246912732,english,True,True,0,0.5,2025-11-12 12:39:51,"Good game, no complaints for $8"
209010431,76561197995902388,english,True,True,0,0.5,2025-11-12 12:22:36,"For such a silly premise, this game is incredibly fun to play. The mechanics are well developed, the maps are challenging, and the stuff you encounter is hilarious."
209010188,76561199006960986,english,True,True,0,0.5,2025-11-12 12:16:03,Worth way more than the price. A modern masterpiece 🚬 10/10
