review_id,author,language,recommended,steam_purchase,votes_up,weighted_vote_score,timestamp,review
208942869,76561199031507269,english,True,True,1,0.496183186769485474,2025-11-11 16:06:28,It was this game or my wife. So i've played a few hours and I absolutely enjoy it!
208913301,76561198244040546,english,True,True,1,0.480916023254394531,2025-11-11 04:53:34,"Got ts bc I fw da game. Ain't used any points yet, hoping they add more skins. Then I'll use em. Not pay to win, it's just cosmetics."
208903484,76561198069493695,english,True,True,1,0.519999980926513672,2025-11-11 02:16:09,"Bought this purely because I adore the game, and want to support Embark. Please continue with making great games that respect its players."
208886471,76561198073770416,english,False,True,2,0.396054834127426147,2025-11-10 21:52:46,skip this and just buy the tokens if you want a skin.
208865114,76561199012449577,english,True,False,1,0.476190477609634399,2025-11-10 13:25:34,"Very Worth it, especially if you pre-ordered the Standard edition of the game. I usually don't pre-order game's at all but I knew this game was trustworthy, as I am familiar with other games by Embark. Very worth it, buy ARC Raiders, buy Deluxe Edition if you care about cosmetics :)"
208859841,76561199051668778,english,True,True,5,0.56081080436706543,2025-11-10 11:01:55,We can't let the clankers win. GET EM BOYS!!!
208845564,76561199554324473,english,True,True,4,0.538167953491210938,2025-11-10 05:59:44,"G-SUIT SHOULD BE AVAILABLE FOR EVERYONE WITH DELUXE
"
208838847,76561198080168105,english,True,True,0,0.5,2025-11-10 04:14:56,"100% worth considering they have a free battle pass with tons of skins and you get 5$ worth of coins for free just by playing, thats the most generous ive seen a game be in a long time"
208825093,76561197993209762,english,True,True,3,0.449035823345184326,2025-11-10 01:05:43,"The game definitely needs more PVE or a PVE mode and a higher tick rate to make PVP more enjoyable and fair.   

With that being said, this upgrade is a good value (skins are most certainly overpriced) as it nets you free skins which are otherwise very expensive AND 2400 premium currency to purchase the most expensive skins in the store.  If you love the game then you can’t go wrong with this."
208802503,76561199087879736,english,True,True,5,0.508082211017608643,2025-11-09 20:05:37,"Probably the best game since the introduction of the Amiga in 1985!

Pros:
- Graphics are unbeatable and immersive
- The sound concept is unique!
- The gameplay feels real
- Player interactions are super cool with presets and voice-overs
- PVP is perfect: you can team up to take down Arc together... but not every encounter on the topside is trustworthy.
- Embark responds to player feedback and has created a masterpiece that none of the big development studios have ever managed to achieve.
- The Arc enemies are adjusted in strength to match the story of the game.
- Overall, by far the best game ever, in every respect. 

Cons:
- All the players who are clamoring for pure PVE... 

Please, Embark, don't let all the single-player gamers influence you negatively.
"
208778513,76561198073965475,english,True,False,0,0.5,2025-11-09 12:39:14,ok
208776380,76561198130969572,english,True,True,5,0.593881845474243164,2025-11-09 11:54:06,i forgot i bought battlefield 6 cuz of this
208764098,76561199550691889,english,True,True,6,0.588001608848571777,2025-11-09 07:59:42,She ARC until I Raider
208763902,76561197993022326,english,False,True,0,0.298797041177749634,2025-11-09 07:56:20,"This game would be great if it wasn't for the involuntary PVP crap! You work real hard gettin' your loot on and then blam,  some turd bird to lazy to gather his own loot snuffs you out for an easy gain. Never mind they worthless praying on new players. If you like this kind of stuff then have at it. Note: eight hours of my play time was because I fell asleep with the game on,"
208751234,76561198042838564,english,True,True,0,0.462427735328674316,2025-11-09 04:29:08,Absolutely worth the money and the developers deserve the support. Not only do you get a pretty good looking premium skin and a hate for Scrappy the rooster you get $20 dollars worth of premium currency so if you're enjoying the game it pays for itself.
208740482,76561198963493796,english,True,True,1,0.5,2025-11-09 02:05:17,I wanted to support this game any way I could and I think they gave some great items. The ingame currency is great too! #arcbound
208711090,76561198006200265,english,True,True,0,0.476190477609634399,2025-11-08 19:31:44,good
208700272,76561198281822695,english,False,True,6,0.535772442817687988,2025-11-08 16:29:40,the skin has a weird plastic tube arm that isnt pictured. its not a cowboy outfit on the other arm
208699832,76561199109195047,english,True,True,0,0.5,2025-11-08 16:22:24,very good
208678586,76561199100847689,english,True,True,0,0.5,2025-11-08 08:53:52,"This game has got to be one of the most beautiful, and smoothest extractor shooters that I've ever played! I can only hope that it only gets better from here if it has started out this awesome!! KEEP UP THE GREAT WORK DEVS!!!!"
208675734,76561198047409779,english,False,True,20,0.608804523944854736,2025-11-08 07:57:37,This was taken from my account. Opened a ticket into the void. No response days later.
208639904,76561198061462804,english,True,True,2,0.545454561710357666,2025-11-07 22:57:36,Purchased the deluxe edition but didn't receive rewards.
208614748,76561198202371175,english,True,True,1,0.523809552192687988,2025-11-07 15:09:06,Game is awesome
208613277,76561198018247093,english,True,True,1,0.523809552192687988,2025-11-07 14:29:31,10/10
208612049,76561198068017678,english,True,True,1,0.5,2025-11-07 13:55:11,"Initially bought the standard edition, but I love the effort they put into the game so upgraded to the Deluxe edition."
208611471,76561199014549152,english,True,True,0,0.5,2025-11-07 13:40:05,this game is frickin awesome 10/10 cant wait for more content
208603875,76561198357760234,english,True,True,0,0.5,2025-11-07 10:31:02,joia
208603761,76561198036390989,english,True,True,0,0.476190477609634399,2025-11-07 10:28:32,this game fucking slaps
208601227,76561198273366485,english,True,True,1,0.523809552192687988,2025-11-07 09:34:22,great
208598332,76561197987453789,english,True,True,1,0.508196711540222168,2025-11-07 08:32:12,Absolute cinema
208596647,76561198352501236,english,True,True,0,0.5,2025-11-07 07:56:46,fun extraction game
208595581,76561198151233614,english,True,True,0,0.5,2025-11-07 07:35:26,Outstanding interface and visuals so far!!
208586863,76561198031282868,english,True,True,55,0.793606162071228027,2025-11-07 04:53:46,"Wishing it were easier to understand the setup. Getting lost in-game trying to read the map. I'm 60yo... maybe that has everything to do with it, I dunno. I'll recommend it... but it's because I want others to try it."
208586634,76561198143513100,english,True,False,1,0.523809552192687988,2025-11-07 04:49:56,i just wanted the cowboy hat
208582192,76561199012192693,english,True,True,0,0.5,2025-11-07 03:41:25,One of the best games I’ve ever played. However the Devs need to do a much better job fixing bugs. I think there’s so much feedback right now that they are missing the REAL issues in the game that need fixed.
208556237,76561199120454851,english,True,True,0,0.5,2025-11-06 21:32:14,"First time playing an extract shooter and lemme tell you something this game is both accessible and challenging. There is just enough hand holding in the beginning to get you accustomed to the game in the tutorial. Then bang youre in a squad, and its kill or be killed, or call out that youre a friendly so that the enemy team hopefully doesnt fire on you. Its a very addicting game loop. Arc enemies at first seem so freaking imposing but once you learn their weakness, and learn better team tactics you can take them out ( so far the biggest thing ive taken out is a Bastion and a Leaper ). That doesnt mean they are easy to kill tho because the AI in the enemies is top notch. There have been so many PEAK CINEMA moments through my sessions, and the game get you heart racing. The cons i have with the game rn is that there is no recyclables tab to see all loot that can be recycled, and other small UI improvements that can be made. Other than that this game is awesome a great intro to extraction shooters."
208539463,76561198858370867,english,False,True,5,0.413258105516433716,2025-11-06 15:55:43,Worst purchase I have made
208539107,76561199209495731,english,True,True,1,0.5,2025-11-06 15:45:47,howdy partner
208537038,76561198054705486,english,True,True,6,0.598700523376464844,2025-11-06 14:48:21,if you're gonna buy 20 bucks of v bucks or whatever they call it its worth it. or if you really really like the cowboy skin. otherwise not really worth it the first battle pass is free
208529216,76561198120760902,english,True,True,2,0.543859660625457764,2025-11-06 11:21:17,2400 V-BUCKS AND A COWBOY HAT!?
208508918,76561198002421216,english,True,True,11,0.580552935600280762,2025-11-06 04:37:24,Purely got this because Embark deserve it. Hope their skins fund many years of additional lore and content. Oh and pewpewpewpew!
208503442,76561198382616919,english,True,True,0,0.5,2025-11-06 03:17:30,Good
208496653,76561198019181169,english,True,True,3,0.51449275016784668,2025-11-06 01:43:40,"ACCIDENTALLY BOUGHT
NICE VISION PRO BTW"
208490202,76561198190751419,english,True,True,5,0.544564008712768555,2025-11-06 00:13:32,"Only worth the price if you want to support the developers, and you want a good looking outfit."
208460940,76561198442843377,english,True,True,1,0.525000035762786865,2025-11-05 16:04:36,gud
208460760,76561198393799122,english,True,True,1,0.5,2025-11-05 16:00:56,good game
208446155,76561199198439399,english,True,True,1,0.5,2025-11-05 10:06:12,"Don't change anything, I believe this is a well put together game! You deserve every penny you put out for purchase! ""Take My Money"""
208442314,76561198790018230,english,True,True,3,0.560293138027191162,2025-11-05 08:47:55,embark take my money i love u
208441355,76561198013910419,english,True,True,1,0.5,2025-11-05 08:29:05,Worth it 100%.
208439884,76561198174038527,english,True,True,1,0.5,2025-11-05 08:01:38,good deal
208439537,76561198909158228,english,True,True,0,0.5,2025-11-05 07:55:10,this one gave me a
208437140,76561198331618168,english,True,True,13,0.533776342868804932,2025-11-05 07:10:00,"Great overall game! A purchase you wont regret. The Ai system works excellent and the bots are top notch for combat its not just another game where the NPCs are just pushovers. Only thing I would like to see updated or changed in this game is the squad to allow a max of 5 or at least 4, the 3 man squad current limit feels weird and not right for the overall game play."
208436638,76561198838220973,english,True,True,1,0.5,2025-11-05 07:01:29,worth but only if you want cosmetics
208431073,76561198982732641,english,True,True,0,0.5,2025-11-05 05:25:21,Worth every penny
208429298,76561198009131273,english,True,True,2,0.482412070035934448,2025-11-05 04:59:04,"If you enjoyed the game and put hours into it, have the disposable income, and want a pretty rad emote - I do recommend this. 

While I'm not a fan of the MTX prices they have in the game, I've been earning raider tokens in-game at a fairly reasonable rate (I've earned about 600 in ~2 days). If it keeps up that way, I will be very appreciative.

If you're against the MTX aspect, I can also respect that. This doesn't give you any advantage whatsoever, and you'll miss nothing if you don't buy it."
208427505,76561199482324389,english,True,True,0,0.5,2025-11-05 04:31:58,really good
208424920,76561198101080531,english,True,True,2,0.52173912525177002,2025-11-05 03:55:14,"It's such a good deal, I would've paid more for this"
